film,user,star,time,content
不可饶恕,上世纪的云,力荐,2012-06-19,"之所以給5+這麽高的分：1,eastwood的演技,2,是影片其實是一部反暴力的片子,3,這是一部看似西部片的非西部片，也是除了《黃金三鏢客》之後我看過的第二部最另類的西部片,4,這是一部美國片，而美國片能有這樣美麗，隱忍的主題是很難得的."
不可饶恕,两江狐子,推荐,2017-07-14,罪难偿，一个曾经十恶不赦的杀手，最后杀的人是罪有应得。剪辑非常好，特别是黑警讲故事和赏金杀手雨夜里讲故事的交叉剪辑，配上戏里云波诡谲暴雨将至的背景。东木被殴加楼上伙伴匆忙逃走也非常出彩。人物的转念非常奇怪，剧本走的可能是连续剧节奏，放冷枪杀牛仔的那场莫名甚至出戏。
不可饶恕,天才+英雄,推荐,2012-09-14,夕阳骑马画面真美  很多时候被搞的精神紧张   ……P.S.伊斯特伍德今年82周岁了！
不可饶恕,噩梦枕头,还行,2009-03-21,恶魔在雨中归来：“他要展览我的朋友的话就该带枪。”
不可饶恕,御滬夷,2010-10-26,2010-10-26,伊斯特伍德的叙事风格就是那么的精彩
不可饶恕,Icarus,推荐,2012-11-07,一部反西部片标志着西部片的终结，配乐、场景无法挑剔。
不可饶恕,惹草苳,力荐,2012-02-01,无恶不作的杀手也会是好人，维护治安的警长也会是恶人。
不可饶恕,敷,力荐,2011-03-27,看完整部片子后，我感叹，原来真有如此伟大的爱情。一个杀人不眨眼的人竟然能够因为爱情而彻头彻尾的改变。
不可饶恕,承泽明,力荐,2012-06-09,做个永远都不会老的牛仔吧，像伊斯特伍德一样。
不可饶恕,安蓝·怪伯爵𓆝𓆟𓆜,推荐,2020-04-20,没所谓这是不是一部严格意义上的西部片，这里没有漫漫黄沙中的拔枪对决，却有着绵绵爱意和拳拳友谊。妻子的家人永远也搞不清为什么女儿会嫁给一个十恶不赦的坏人，因为他们从来也不会走进他的世界，看他的“所作所为”。结尾的剪影美哭了，真哭了。
不可饶恕,西帕克,力荐,2020-07-18,4k uhd重看。李安说卧虎藏龙的李慕白像这部里的伊斯特伍德，伊斯特伍德的作品更有一种祛魅感，告诉我们传说都是建立在夸张和谎言之上。但同时他又愿意相信传说，所有在最后又用一场屠杀，重回老西部个人英雄主义。伊斯特伍德梦到死神有一双蛇眼，那其实就是他自己。片尾字幕献给莱昂内和唐·西格尔。
不可饶恕,秋の午后时光,推荐,2007-10-17,片头片尾关于William太太的安排实在是匠心独具、精妙绝伦，很大地拔高了影片的深度。
不可饶恕,啄。,还行,2013-11-16,有的人「应该」活着，然而死了；有的人「应该」死去，然而活着。或许这就是真实——无所谓应不应该的，或许政治不正确、或者令人无奈的，然而世间寻常确凿往往如此的真实。最后的牛仔已拖家带口离开，最后的蛮荒，也注定淡出时代。
不可饶恕,佳宋,推荐,2011-04-12,哥早已不在江湖，江湖却仍有哥的传说。
不可饶恕,捌柒,推荐,2011-08-26,最恨不过英雄迟暮啊，我草伊斯特伍德的西部片是不是太屌了点
不可饶恕,西宇,推荐,2011-09-20,牛仔老了，本性不变。善恶是个屁。
不可饶恕,L,推荐,2014-05-07,西部片的逻辑很简单，悬赏猎人为了赏金杀人，所以现在很纯粹的西部片难以满足现代人快节奏高效率及炫技的观影需求，但那些最原始粗犷的人和情感和欲望依旧迷人，为什么杀人，什么人该死，在影片中是非常悲剧又现实的道德问题，可以映射到现代生活的很多方面，有时候看电影的感觉真的和读小说好像
不可饶恕,H.W.X,力荐,2011-05-28,男人味很重的电影，西部味很重的电影，画面很有感觉的电影
不可饶恕,Mr.Raindrop,推荐,2010-05-05,伊斯特伍德将西部片对决中的一个要素--气场，融入整部电影，并将节奏放缓，让观众慢慢体会上一幕还不可一世的角色到下一段就被压倒性地狂虐的那种气场被击溃的感觉
