film,user,star,time,content
金枝玉叶,des7perado,力荐,2014-03-10,明明是那么开心的喜剧但是看哥哥弹钢琴唱今生今世和追  我又难过的想流眼泪
金枝玉叶,孤岛,力荐,2007-02-06,我想把我所能想到的最美的词都献给这部电影！
金枝玉叶,代表月亮rock你,力荐,2010-04-29,陈可辛算是我为数不多 喜欢的国内导演之一了
金枝玉叶,梦幻小飞侠,力荐,2010-02-16,"诙谐幽默中不乏浪漫温情，尤其是当那怀旧的歌声响起时，《甜蜜蜜》的感觉又回来了。  张国荣果然是无可取代的传奇！最爱张国荣！"
金枝玉叶,两江狐子,推荐,2016-03-28,真诚地谈了些两性关系、爱情、为人处世，结束于童话。刘嘉玲确实招人喜欢，真没办法。三位主演最好看的一个时期。那时候的陈小春也正在转变，也十分好。音乐、装束、对圈中事的吐槽，不痛不痒，雅俗共赏。三星半。
金枝玉叶,451½°F™,推荐,2012-04-03,「性认同」成为如今本片评论中最大的亮点，而当初编导的选择恐怕更多是一种「性倒错疯狂喜剧」，袁咏仪的表现远高于张国荣。
金枝玉叶,彬大喵~,推荐,2009-08-19,天呐！这部电影好限制级啊~好多东西现在才看懂，小时候因为这部电影开始喜欢张国荣，如今听到配乐仍然想哭。居然有升爷的不在让你孤单！
金枝玉叶,Flora,推荐,2013-09-21,我觉得这个故事讲得就是同志认同的心路历程，尤其看到编剧里有哥哥的名字就更加明白了。但又考虑到大众要求，所以又偷换概念，女扮男装。
金枝玉叶,萝卜萝卜~,2011-08-28,2011-08-28,歌好棒。那个年代的港片在我看来始终会嫌台词太过露骨，哈哈。不过剧里的人还真是个个大牌啊。女主最后去找家明的时候跑到快撑不下去说不行的时候我还以为她要打的，结果换成自行车档，那一瞬间我都快爱上她了。
金枝玉叶,我不是柏柏人,推荐,2010-09-05,港片难道只能品味90s的？千禧年后都唔系好多好噶港产片了
金枝玉叶,花田怎么了,推荐,2012-04-02,"He's a Woman, She's a Man "
金枝玉叶,陈小鱼,推荐,2019-10-16,真好看 好喜欢UFO 想拍这样的戏 为什么现在没人拍这样的戏嘛 
金枝玉叶,溪 上,力荐,2009-11-16,我好爱你。我很中意靓靓。刘嘉玲在这部片里我很喜欢，应该是她所有角色中我最喜欢的。我喜欢曾志伟。我喜欢这样的搭配，喜欢那种可以传递的心跳感觉，喜欢那些满怀爱心和笑意的小幽默片段，像亮晶晶笑意盈盈的眼睛。喜欢我爱你，因为你是你的这种信念。
金枝玉叶,Unicorn,力荐,2013-04-26,男或女，我只知道我中意你。玫瑰最后在台上的那番话真的征服了我，真正成熟的女人气质。
金枝玉叶,杀手不回头,还行,2013-11-04,张国荣就会演gay。刘嘉玲就是喜欢被强奸的感觉。最后一句话厉害，男也好女也好，我只知道我喜欢你。
亚当斯一家的价值观,木,推荐,2014-02-14,14/02/14    除了剧情因为搞笑有点二之外，Addams一家超有爱呀~尤其是妈妈，每次出场都让人盯着她看，挪不开眼睛，太美了。
亚当斯一家的价值观,公子小七,力荐,2011-11-29,I'd love to be one of the Addams family.
亚当斯一家的价值观,尼罗河左岸,力荐,2013-07-03,必须要看这种荒诞 哥特风格的搞笑片
亚当斯一家的价值观,请取消关注,力荐,2009-10-16,啊啊啊啊！我也要生出这么美好的女儿！
亚当斯一家的价值观,气质谐星,还行,2010-08-20,价值观可能不分好坏，但差异很大
亚当斯一家的价值观,为了上帝的爱,推荐,2011-11-07,"全名是《亚当斯一家的价值观》。在他们看来他们的小孩：爱笑、有酒窝、爱唱歌、当总统，这些都是灾难。。。 很减压的价值观。不用假装快乐~假装乐观~假装善良~ 不管怎么说...好可爱~  "
亚当斯一家的价值观,D野千寻,还行,2020-02-15,律师总统都是太可怕的职业，克里斯蒂娜·里奇的印第安打扮加笑容太美。可惜第二部和动画一样没有更新奇有趣的点而显得爆米花。
亚当斯一家的价值观,扶栏者Y,推荐,2013-12-06,哎呦这部还是好乐！喜欢这种奇怪的暗黑幽默啊！小北鼻病了的时候其实。。我觉得太可爱了，还有以后将会成为什么人哈哈哈！但为什么上一部的Nanny换了人呢。。
亚当斯一家的价值观,Matzka,推荐,2012-05-21,其实我还蛮喜欢的，尤其小女孩。。。。
亚当斯一家的价值观,菁君,还行,2011-11-19,还是很欢乐，可是比第一部稍微差点儿……也有可能是因为两部连着看的原因？Sex and City里的Miranda小小的客串哦~
